agent.common1,0,
agent.another1,0,secret,
agent.challenge,2,
bait.common1,0,
bait.challenge,2,
busker.common1,0,
busker.another1,0,secret,
busker.challenge,2,
#collator.common3,0,
#collator.common1,0,
#collator.common2,1,goal-20,
#collator.common4,1,
#collator.another1,0,secret,
#collator.challenge,2,
comet.common1,0,once,
comet.common2,0,once,
comet.common3,1,
comet.challenge,2,
doctor.common1,0,once,
doctor.challenge,2,
#justice.common1,0,
#justice.common2,1,
#justice.another1,0,secret,
#justice.common3,1,
#justice.challenge,2,
madmate.common1,0,
madmate.another1,1,secret,
madmate.challenge,2,
mayor.common1,0,
mayor.another1,0,secret,
mayor.challenge,2,
necromancer.common1,0,
necromancer.challenge,2,
niceTrapper.common1,0,once,
niceTrapper.challenge,2,
phosphorus.common1,0,once,goal-3,
phosphorus.common2,1,once,goal-20,
phosphorus.challenge,2,
provocateur.common1,0,
provocateur.common2,0,
provocateur.challenge,2,
seer.common1,0,
seer.challenge2,2,
sheriff.common1,0,
sheriff.another1,0,secret,
sheriff.challenge,2,
ubiquitous.common1,0,
ubiquitous.common2,1,goal-20,
ubiquitous.challenge,2,
#alien.common1,0,
#alien.common2,0,goal-10,
#alien.common3,1,
#alien.common4,1,
#alien.challenge,2,
bountyHunter.common1,0,
bountyHunter.another1,0,secret,
bountyHunter.challenge,2,
camouflager.common1,0,once,
camouflager.challenge,2,
cleaner.common1,0,
cleaner.challenge,2,
destroyer.common1,0,
destroyer.common2,1,goal-10,
destroyer.another1,0,
destroyer.challenge,2,
disturber.common1,0,
disturber.common2,1,
disturber.challenge,2,
#effacer.common1,0,
#effacer.common2,0,
#effacer.common3,1,
#effacer.common4,1,
#effacer.challenge,2,
evilTracker.common1,0,
evilTracker.another1,0,
evilTracker.challenge,2,
evilTrapper.common1,0,once,
evilTrapper.challenge,2,
illusioner.common1,0,
illusioner.challenge,2,
jailer.common1,0,once,
jailer.challenge,2,
marionette.common1,0,once,
marionette.another1,0,secret,
marionette.common2,1,
marionette.challenge,2,
morphing.common1,0,
morphing.another1,1,
morphing.another2,1,secret,
morphing.challenge,2,
painter.common1,0,
painter.challenge,2,
raider.common1,0,
raider.another1,0,secret,
raider.challenge,2,
reaper.common1,0,
reaper.challenge,2,
sniper.common1,0,
sniper.another1,0,secret,
sniper.challenge,2,
stirrer.common1,0,once,
stirrer.challenge,2,
arsonist.common1,0,
arsonist.challenge,2,
chainShifter.common1,0,
chainShifter.another1,0,secret,
chainShifter.challenge,2,
jackal.common1,0,
jackal.challenge,2,
sidekick.common1,0,
sidekick.common2,1,
sidekick.challenge,2,
jester.common1,0,
jester.challenge,2,
paparazzo.common1,0,
paparazzo.common2,1,
paparazzo.common3,1,
paparazzo.common4,1,
paparazzo.challenge,2,
vulture.common1,0,
vulture.challenge,2,
guesser.common1,0,
guesser.challenge,2,
bloody.common1,0,
bloody.challenge,2,
confused.common1,0,
confused.another1,0,secret,
confused.challenge,2,
damned.common1,0,
damned.common2,0,
damned.common3,1,
damned.challenge,2,
extraMission.common1,0,
extraMission.another1,0,secret,
extraMission.common2,1,
extraMission.common3,1,
extraMission.another2,0,secret,
extraMission.challenge,2,
lover.common1,0,
lover.another1,0,secret,
lover.challenge,2,
avenger.common1,0,
avenger.common2,1,
avenger.another1,0,secret,
avenger.another2,1,secret,
avenger.challenge,2,
obsessional.common1,0,
obsessional.another1,0,secret,
obsessional.another2,1,secret,
obsessional.lover1,2,nonChallenge,
obsessional.lover2,1,
obsessional.challenge,2,
secret.common1,0,
secret.another1,0,secret,
secret.challenge,2,
tieBreaker.common1,0,
tieBreaker.challenge,2,
lumine.common1,0,
lumine.another1,1,secret,
poltergeist.common1,0,
firstKill,1,once,secret,goal-10,
setsubun,1,seasonal,
graduation2,1,seasonal,
sakura,1,seasonal,
koinobori,1,seasonal,
christmas,1,seasonal,
challenge.impostor,2,
challenge.lastCrewmate,2,
challenge.death2,2,
noCrewmate,1,
challenge.crewmate,1,
speedAttribute,1,
threeRoles,1,secret,
doTaskEvenDead,1,secret,
extraVictim,0,once,
spectator.dead,0,once,
spectator.murderer,0,once,
allWayKill,2,builtIn-kill,
allWayDeath,2,builtIn-death,
